Unnamed: 0,French,English
0,seulement,only
1,police,police
2,pensais,thought
3,aide,help
4,demande,request
5,genre,kind
7,frère,brother
8,car,because
9,mettre,to put
10,aucun,no
11,laisse,leash
12,eux,them
13,ville,city
14,parlé,speak
15,arrivé,come
16,devrait,should
17,bébé,baby
18,heures,hours
19,vont,will
20,pendant,while
21,revoir,meet again
22,parle,speak
23,compris,understood
24,savais,knew
26,attention,Warning
27,voici,here is
28,pourrais,could
29,affaire,case
30,donner,give
31,type,type
32,leurs,their
33,donné,given
34,train,train
35,corps,body
36,endroit,place
37,yeux,eyes
38,façon,way
39,écoute,listen
40,dont,whose
41,trouve,find
42,premier,first
43,perdu,lost
44,main,hand
46,côté,side
47,pouvoir,power
48,vieux,old
49,sois,be
50,tiens,here
51,matin,morning
52,tellement,so much
53,enfant,child
54,point,point
55,venu,came
56,suite,after
57,pardon,sorry
58,venez,come
59,vers,towards
60,minutes,minutes
61,chambre,bedroom
62,mis,placed
63,belle,beautiful
64,droit,law
65,aimerais,would like to
66,aujourd'hui,today
67,mari,husband
68,cause,cause
70,espère,hope
71,eau,water
72,attendez,Wait
73,parti,left
74,nouvelle,new
75,boulot,job
76,arrêter,Stop
77,dirait,would say
78,terre,Earth
79,compte,account
80,donne,given
81,loin,far
82,fin,end
83,croire,believe
84,chérie,sweetheart
85,gros,large
86,plutôt,rather
87,aura,will have
88,filles,girls
89,jouer,to play
90,bureau,office
